time,open,high,low,close,Predictive Vector MA,Predictive MA,Baseline MA,Cyclic FV,PhiLatch Target,PhiTotal Orth Target,Innovation Band Upper,Innovation Band Lower,Zone 3 Upper,Zone 3 Lower,Zone 2 Upper,Zone 2 Lower,Zone 1 Upper,Zone 1 Lower,Velocity Signals,VWAP Rejection Long,VWAP Rejection Short,Squeeze Bull,Regime Markers,MR,TE,VEC,CORR,LTF,BURST,Trade State,MC Debug,Entry Context,Exit Context,Density Debug,Debug Combined,MC Visualization,kNN Superpack (Conf|Family|Features)
1775317500,0.8682,0.8694,0.8678,0.8692,0.87476512693517,0.87476512693517,0.86840827256583,0.8703465706290364,0.8633234726957195,0.8669666216635008,0.8729360858286669,0.8654940380137183,0.8740825349227513,0.8635868535061598,0.8748412188510478,0.8627133953623888,0.876259388762523,0.8611495637283195,,,,,,2.2037919254810086,3.9999999870147316,-3.906598151255994,-5.534890613533004,-4.845092122324168,-1.4658536244903884,0,0,1100,100,0,0,,393133822
1775318400,0.8693,0.8696,0.8674,0.8677,0.8761834536887276,0.8761834536887276,0.868367054857084,0.8702663140908359,0.8631516320516213,0.8674657409302646,0.8729108967410052,0.8656187499110432,0.8738626919315102,0.8633948196759532,0.8746361633555133,0.8625513161071275,0.8760722232865131,0.8610260252039266,,,,,,1.7263685011397423,3.9999999870147316,-4.545516683814654,-5.536750907694323,-5.004152828653271,-1.5160752296052578,0,0,1100,100,0,0,,384745205
1775319300,0.8677,0.8716,0.8673,0.871,0.8783688160442468,0.8783688160442468,0.8684021899249572,0.8708360889577277,0.8631402018869518,0.8673548674856244,0.8729732391421227,0.8657992393622177,0.8743114375191238,0.8638561506406293,0.8750451060554355,0.8629363321915307,0.8764294915116263,0.8613180642337493,,,,,,2.173138580799116,3.9999999870147316,-3.784147614549026,-5.435515454487327,-5.035760836422764,-1.468368863153242,0,0,1100,100,0,11500,,393132023
1775320200,0.8711,0.8716,0.8683,0.8688,0.8798251213249948,0.8798251213249948,0.868392936428413,0.8711803826376527,0.8624725948542193,0.8670577461273935,0.8729334194501287,0.8661735551392536,0.8742517903835979,0.8638630275200502,0.8749817748396193,0.862951732824534,0.8763586040926817,0.8613469612377487,,,,,,2.0361660379116264,3.9999999870147316,-3.852978573912815,-5.445329793247211,-7.93663023133311,-1.4138446031750656,0,0,1100,100,0,11100,,384679678
1775321100,0.8687,0.8689,0.8643,0.8646,0.8790103718640347,0.8790103718640347,0.8680435378787624,0.8708952149244396,0.8609220263171563,0.8664201797248181,0.8735982012840147,0.865682082838086,0.8737890462301378,0.863338935472453,0.8745355979147729,0.8624516454355111,0.8759362407404526,0.8608729607716769,,0.8662430025929581,,,,1.131046330167052,3.9999999870147316,-4.599598398672844,-5.570092513642082,-8.258281005865323,-1.3587613289439036,0,0,1100,100,0,0,,284611829
1775322000,0.8646,0.8676,0.8638,0.8674,0.8775405778840372,0.8775405778840372,0.8679415302663347,0.8707649746111517,0.8609196532807083,0.866328232758589,0.8737083509052699,0.8657197091977074,0.8736525243037353,0.8633791311744332,0.8743810640053093,0.8624947305312654,0.8757511113557153,0.8609280012423576,,0.8651741672127745,,,,1.2772296804044254,3.9999999870147316,-4.34325490345158,-5.607856890985367,-7.254996865044501,-1.3128108150300313,0,0,1000,1100,0,0,,393592317
1775322900,0.8674,0.8699,0.8673,0.8693,0.8768703369623015,0.8768703369623015,0.8679273030636926,0.8708595177186274,0.861339597688344,0.8663655468560462,0.8734947663248775,0.8660909303701192,0.8736576860246629,0.8634248326472602,0.8743799134959975,0.862535537827468,0.8757401585320053,0.8609648565439545,,,,,,1.799834118682782,3.9999999870147316,-4.062326783598277,-5.590322661190948,-5.653438507397572,-1.262445472453798,0,0,1000,1100,0,0,,393657846
1775323800,0.8693,0.8707,0.8691,0.8703,0.8766525377146008,0.8766525377146008,0.867940351896069,0.8706672699501732,0.8624968487780529,0.8664886024298939,0.8732906312528924,0.8664359559634017,0.8733520490117794,0.8630199473764791,0.8741168822177527,0.8621894005157414,0.8755361118640715,0.8606864229981737,,,,,,2.258424953169227,3.9999999870147316,-4.682671938121696,-5.599762913288123,-5.019019270660592,-1.2266613098327084,0,0,1000,1100,0,0,,385922549
1775324700,0.8703,0.8704,0.8692,0.8697,0.8765491548967536,0.8765491548967536,0.8679339778527034,0.8706163731174835,0.863059663031056,0.866623762712195,0.8730641375171204,0.8667825269361618,0.8734099203422474,0.8630756764008587,0.874168100187871,0.8622347298200207,0.8755788459543229,0.860718636201793,,,,,,2.359429850003476,3.9999999870147316,-4.482339273714935,-5.599567722051871,-8.007968393523495,-1.2214639998035093,0,0,1000,1100,0,0,,586381301
1775325600,0.8697,0.871,0.8688,0.8695,0.8761303320406043,0.8761303320406043,0.867941940886489,0.8705046753757446,0.8636181678763307,0.8668117254506281,0.8728890164381236,0.8670397952533098,0.8733434515066919,0.8630025990119196,0.8741105763613319,0.8621736790343189,0.8755331253860822,0.8606723560784979,,,,,,2.3431054526585093,3.9999999870147316,-4.754189353689361,-5.5557943101150205,-9.094100778024652,-1.164298986492252,0,0,1000,1100,0,0,,594769909
