time,open,high,low,close,Predictive Vector MA,Baseline MA,Cyclic FV,PhiLatch Target,PhiTotal Orth Target,Innovation Band Upper,Innovation Band Lower,Zone 3 Upper,Zone 3 Lower,Zone 2 Upper,Zone 2 Lower,Zone 1 Upper,Zone 1 Lower,Velocity Signals,VWAP Rejection Long,VWAP Rejection Short,Squeeze Bull,Regime Markers,MR,TE,VEC,CORR,LTF,BURST,Trade State,MC Debug,Entry Context,Exit Context,Density Debug,Setup Context Flags,Basket Fit (0-100),TE Direction,Corr Damping (0-1),Debug Combined,MC Visualization,kNN Superpack (Conf|Damp|Fam|Vec)
1770433200,237.33,238.89,235,236.93,238.44615469030575,242.2555979054874,244.69501721790587,229.6180765441123,247.23254166196114,263.583421533335,228.0044112783043,257.4648045092087,231.3717774425498,259.26351271849217,228.97377767476576,262.6778093953811,224.8141442822161,,,,,,-0.08604774782386027,,-7.359940095307657,-5.795446130716364,-4.782988499563703,3.9512805572162395,0,0,1000,1100,0,69,66.583992802772,,0.5,0,,9663676416
1770434100,236.94,238.39,235.67,237.02,238.30349403160747,241.82038006214327,244.76898880547756,229.47477378356044,247.47675257014035,263.20760678993673,227.95878877902322,255.23947771267976,232.31370722947142,256.8163353686558,230.19354377071173,259.81182593333426,226.523427060685,,,,,,-0.2411706535518341,,-7.302870132529268,-5.852119619388962,-4.776829927010012,3.8719002487466425,0,0,1200,100,0,69,66.61588940473334,,0.5,10106,,9663676416
1770435000,236.9,238.18,236.1,237.88,238.23878454890215,241.48647250374628,244.51056816156702,230.00692186457036,247.59549052270842,262.5822417470515,228.03701526986998,253.5770961217628,232.87538253904344,255.00264445730474,230.96722370994797,257.70960241034834,227.66049568928022,,,,,,-0.3433670769307886,,-7.522876651295453,-5.87769423352263,-4.882127354229198,3.6928172241786084,0,0,1200,100,0,65,66.62881741710696,,0.5,0,,9663676416
1770435900,237.8,237.8,236.01,237.16,238.1045245082968,241.19373739792454,244.117310068739,230.04554970771778,247.8922931146479,261.9574343088504,227.92349247520082,252.51547031163616,233.14140325320983,253.84918704181715,231.3540801529887,256.382035228678,228.25763133758372,,,,,,-0.4903783940489832,,-7.648622375851057,-5.907444459921322,-4.673920958968,3.6167265874763324,0,0,1200,100,0,64,66.40674056910315,,0.5,0,,9663676416
1770436800,237.01,240.64,236.5,240.01,238.55472437935614,241.07640571431176,244.2809865679927,230.11500268610703,248.48128981984135,260.99372155500976,228.5079515953364,252.31778630503896,233.29296920466757,253.61999229648214,231.50797790936448,256.0979677739869,228.43280760986556,,,,,,-0.46034022125735863,,-6.647145580374407,-5.930639274212365,-4.507258875858773,2.8803398966999074,0,0,1000,1100,0,64,66.9448779461573,,0.5,0,,9663676416
1770437700,240,242.21,238.61,239.1,239.09210641484165,241.00776188390535,243.92604410470136,230.52336052240634,248.62022703912837,260.1782191995925,228.85230917006777,252.1128770048521,233.13975282282104,253.41789165990343,231.38522033850586,255.89695758325536,228.3479777897998,,,,,,-0.5024135723906045,,-7.532139793479579,-5.9365476885624755,-4.461347991995845,1.0795039797555626,0,0,1000,1100,0,32832,67.02358730042054,,0.5,0,,9663676416
1770438600,239.08,240.16,235.76,235.99,238.86913600201476,240.6393614893088,242.80707329041806,230.83024185567604,247.59984279502612,259.6162591490245,228.40861332362434,250.9300233987817,232.5596763356342,252.22632471246558,230.96251766592195,254.6679423327614,228.1419749573687,,,,,,-0.6611020283019593,,-8.74612112464852,-5.92333656480908,-4.542342642666649,-0.10326532274256095,0,0,1000,1100,0,32837,68.22433453702594,,0.5,0,,9663676416
1770439500,236.11,237.16,236,236.42,238.24626317765524,240.34324976162304,242.2446105820535,230.81913028098114,246.45980454973278,258.87446541458996,228.11269728157876,250.7620657731856,232.7153828704295,252.0126815053865,231.0799747765366,254.3823269056909,228.23010346167015,,,,,,-0.6740880663947544,,-8.195187536553872,-5.93073034131295,-4.930188994964259,-0.8900951705565692,0,0,1000,1100,0,32832,68.17839704759328,,0.5,0,,9663676416
1770440400,236.4,239.1,236.35,237.93,237.89060565460625,240.22795414465722,242.08389242756058,230.78579541391323,245.46253584714083,257.9332452063196,228.2565610214869,250.7403108189629,232.7153620958904,251.98247564351007,231.05744859096126,254.34059044707024,228.18237819962408,,,,,,-0.5433285834667934,,-7.611000176223458,-5.942295822528342,-5.0890544431246685,-1.0990940110275418,0,0,1000,1100,0,32832,68.63952864049129,,0.5,0,,9663676416
1770441300,238.02,239.48,236.17,236.43,237.49315826513677,240.1072002130613,241.6123453109524,230.48130135286263,244.48408856113693,257.23520214046744,228.14849444085823,250.46320991302096,232.30476625939627,251.7304932514514,230.68743483636885,254.12605986294122,227.85324311428388,,,,,,-0.4927664056668828,,-8.24757345351734,-5.951005678613283,-4.993304985757311,-0.8582126432379762,0,0,1000,1100,0,64,68.91200919121687,,0.5,0,,9663676416
