Date,Message
2025-09-02T15:45:00.000+03:00,"LONGEVAL,bar=147,entryCtx=1000,z0=-0.943,mr=0,vec=-0.867,basket=0,burst=NaN,te=NaN,innW=1.6394,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T18:30:00.000+03:00,"LONGEVAL,bar=158,entryCtx=1000,z0=-0.539,mr=0,vec=-0.43,basket=45.53,burst=NaN,te=NaN,innW=0.9477,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T18:45:00.000+03:00,"LONGEVAL,bar=159,entryCtx=1000,z0=-0.772,mr=0,vec=-0.586,basket=45.79,burst=NaN,te=NaN,innW=0.9019,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T04:00:00.000+03:00,"LONGEVAL,bar=196,entryCtx=1000,z0=-0.613,mr=0,vec=-0.021,basket=55.58,burst=NaN,te=NaN,innW=0.3555,innWmed=1.0476,innRatio=0.339,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T05:15:00.000+03:00,"LONGEVAL,bar=201,entryCtx=1000,z0=-1.203,mr=0,vec=0.427,basket=53.69,burst=NaN,te=NaN,innW=0.3932,innWmed=0.9381,innRatio=0.419,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T05:30:00.000+03:00,"LONGEVAL,bar=202,entryCtx=1000,z0=-1.318,mr=0,vec=0.319,basket=53.02,burst=NaN,te=NaN,innW=0.4747,innWmed=0.9152,innRatio=0.519,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T05:45:00.000+03:00,"LONGEVAL,bar=203,entryCtx=1000,z0=-1.195,mr=0,vec=0.349,basket=52.87,burst=NaN,te=NaN,innW=0.5394,innWmed=0.8986,innRatio=0.6,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T06:00:00.000+03:00,"LONGEVAL,bar=204,entryCtx=1000,z0=-1.451,mr=0,vec=0.258,basket=53.07,burst=NaN,te=NaN,innW=0.6245,innWmed=0.8895,innRatio=0.702,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T06:15:00.000+03:00,"LONGEVAL,bar=205,entryCtx=1000,z0=-1.431,mr=0,vec=0.238,basket=53.15,burst=NaN,te=NaN,innW=0.6952,innWmed=0.8545,innRatio=0.813,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T06:30:00.000+03:00,"LONGEVAL,bar=206,entryCtx=1000,z0=-1.198,mr=0,vec=0.166,basket=52.61,burst=NaN,te=NaN,innW=0.7413,innWmed=0.7914,innRatio=0.937,knn=NaN,phiTotal=NaN,triggered=0"
