Date,Message
2025-09-01T22:30:00.000+03:00,"LONGEVAL,bar=78,entryCtx=1000,z0=-0.797,mr=-0.99,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-01T22:45:00.000+03:00,"LONGEVAL,bar=79,entryCtx=1000,z0=-0.767,mr=-0.991,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-01T23:00:00.000+03:00,"LONGEVAL,bar=80,entryCtx=1000,z0=-0.831,mr=-1.031,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-01T23:15:00.000+03:00,"LONGEVAL,bar=81,entryCtx=1000,z0=-0.909,mr=-1.109,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-01T23:30:00.000+03:00,"LONGEVAL,bar=82,entryCtx=1000,z0=-1.826,mr=-1.387,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-01T23:45:00.000+03:00,"LONGEVAL,bar=83,entryCtx=1000,z0=-1.12,mr=-1.232,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T00:00:00.000+03:00,"LONGEVAL,bar=84,entryCtx=1000,z0=-1.341,mr=-1.264,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T00:15:00.000+03:00,"LONGEVAL,bar=85,entryCtx=1000,z0=-1.479,mr=-1.35,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T00:30:00.000+03:00,"LONGEVAL,bar=86,entryCtx=1000,z0=-1.654,mr=-1.396,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T00:45:00.000+03:00,"LONGEVAL,bar=87,entryCtx=1000,z0=-1.445,mr=-1.383,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T01:00:00.000+03:00,"LONGEVAL,bar=88,entryCtx=1000,z0=-1.249,mr=-1.319,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T01:15:00.000+03:00,"LONGEVAL,bar=89,entryCtx=1000,z0=-1.074,mr=-1.197,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T01:30:00.000+03:00,"LONGEVAL,bar=90,entryCtx=1000,z0=-1.071,mr=-1.149,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T01:45:00.000+03:00,"LONGEVAL,bar=91,entryCtx=1000,z0=-0.667,mr=-0.925,vec=NaN,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-09-02T15:30:00.000+03:00,"LONGEVAL,bar=146,entryCtx=1000,z0=-0.798,mr=0,vec=-1.169,basket=0,burst=NaN,te=NaN,innW=0.1077,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T15:45:00.000+03:00,"LONGEVAL,bar=147,entryCtx=1000,z0=-1.178,mr=0,vec=-1.594,basket=0,burst=NaN,te=NaN,innW=0.1267,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T16:00:00.000+03:00,"LONGEVAL,bar=148,entryCtx=1000,z0=-0.984,mr=0,vec=-1.249,basket=0,burst=NaN,te=NaN,innW=0.1373,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T16:15:00.000+03:00,"LONGEVAL,bar=149,entryCtx=1000,z0=-0.788,mr=0,vec=-1.035,basket=61.49,burst=NaN,te=NaN,innW=0.1396,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T18:30:00.000+03:00,"LONGEVAL,bar=158,entryCtx=1000,z0=-0.614,mr=0,vec=-0.76,basket=72.47,burst=NaN,te=NaN,innW=0.1122,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T18:45:00.000+03:00,"LONGEVAL,bar=159,entryCtx=1000,z0=-0.958,mr=0,vec=-1.033,basket=72.85,burst=NaN,te=NaN,innW=0.1111,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T19:00:00.000+03:00,"LONGEVAL,bar=160,entryCtx=1000,z0=-0.533,mr=0,vec=-0.684,basket=73.29,burst=NaN,te=NaN,innW=0.1037,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T19:15:00.000+03:00,"LONGEVAL,bar=161,entryCtx=1000,z0=-0.911,mr=0,vec=-1.042,basket=73.63,burst=NaN,te=NaN,innW=0.102,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-02T19:30:00.000+03:00,"LONGEVAL,bar=162,entryCtx=1000,z0=-0.513,mr=0,vec=-0.659,basket=73.9,burst=NaN,te=NaN,innW=0.0947,innWmed=NaN,innRatio=NaN,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T08:45:00.000+03:00,"LONGEVAL,bar=215,entryCtx=1000,z0=-0.545,mr=0,vec=-0.066,basket=90.38,burst=NaN,te=NaN,innW=0.0813,innWmed=0.1203,innRatio=0.676,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T09:30:00.000+03:00,"LONGEVAL,bar=218,entryCtx=1000,z0=-0.505,mr=0,vec=0.184,basket=90.25,burst=NaN,te=NaN,innW=0.079,innWmed=0.1203,innRatio=0.657,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T10:00:00.000+03:00,"LONGEVAL,bar=220,entryCtx=1000,z0=-0.546,mr=0,vec=0.009,basket=90.16,burst=NaN,te=NaN,innW=0.0802,innWmed=0.1203,innRatio=0.666,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T10:15:00.000+03:00,"LONGEVAL,bar=221,entryCtx=1000,z0=-0.79,mr=0,vec=0.11,basket=89.57,burst=NaN,te=NaN,innW=0.0847,innWmed=0.1203,innRatio=0.704,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-03T10:30:00.000+03:00,"LONGEVAL,bar=222,entryCtx=1000,z0=-0.907,mr=0,vec=0.481,basket=88.15,burst=NaN,te=NaN,innW=0.0913,innWmed=0.1203,innRatio=0.759,knn=NaN,phiTotal=NaN,triggered=0"
2025-09-04T04:00:00.000+03:00,"LONGEVAL,bar=292,entryCtx=1000,z0=-0.514,mr=0.22,vec=-0.207,basket=74.71,burst=-0.001648,te=NaN,innW=0.0523,innWmed=0.0684,innRatio=0.764,knn=NaN,phiTotal=-0.1,triggered=0"
2025-09-04T04:15:00.000+03:00,"LONGEVAL,bar=293,entryCtx=1000,z0=-0.513,mr=-0.026,vec=-0.229,basket=74.69,burst=-0.001847,te=NaN,innW=0.0501,innWmed=0.0681,innRatio=0.735,knn=NaN,phiTotal=-0.073,triggered=0"
2025-09-04T05:15:00.000+03:00,"LONGEVAL,bar=297,entryCtx=1000,z0=-1.126,mr=-0.859,vec=-0.828,basket=76.1,burst=-0.002222,te=NaN,innW=0.0431,innWmed=0.0658,innRatio=0.656,knn=NaN,phiTotal=0.01,triggered=0"
2025-09-04T05:30:00.000+03:00,"LONGEVAL,bar=298,entryCtx=1000,z0=-1.334,mr=-1.021,vec=-1.024,basket=76.16,burst=0.003682,te=NaN,innW=0.0476,innWmed=0.0645,innRatio=0.738,knn=NaN,phiTotal=-0.115,triggered=0"
2025-09-04T05:45:00.000+03:00,"LONGEVAL,bar=299,entryCtx=1000,z0=-1.39,mr=-1.186,vec=-1.066,basket=77.04,burst=0.003391,te=NaN,innW=0.0519,innWmed=0.0642,innRatio=0.808,knn=NaN,phiTotal=-0.106,triggered=0"
2025-09-04T06:00:00.000+03:00,"LONGEVAL,bar=300,entryCtx=1000,z0=-1.63,mr=-1.455,vec=-1.056,basket=77.06,burst=-0.00042,te=NaN,innW=0.0586,innWmed=0.0636,innRatio=0.92,knn=NaN,phiTotal=-0.044,triggered=0"
2025-09-04T06:15:00.000+03:00,"LONGEVAL,bar=301,entryCtx=1000,z0=-1.699,mr=-1.663,vec=-0.974,basket=76.85,burst=-0.001379,te=NaN,innW=0.0655,innWmed=0.0636,innRatio=1.029,knn=NaN,phiTotal=0,triggered=0"
2025-09-04T06:30:00.000+03:00,"LONGEVAL,bar=302,entryCtx=1000,z0=-1.751,mr=-1.879,vec=-1.006,basket=76.89,burst=-0.00145,te=NaN,innW=0.073,innWmed=0.0636,innRatio=1.148,knn=NaN,phiTotal=0.019,triggered=0"
2025-09-04T06:45:00.000+03:00,"LONGEVAL,bar=303,entryCtx=1000,z0=-1.674,mr=-2.002,vec=-0.931,basket=76.87,burst=-0.001662,te=NaN,innW=0.0792,innWmed=0.0636,innRatio=1.245,knn=NaN,phiTotal=0.027,triggered=0"
2025-09-04T07:00:00.000+03:00,"LONGEVAL,bar=304,entryCtx=1000,z0=-1.537,mr=-1.928,vec=-0.915,basket=76.92,burst=-0.000468,te=NaN,innW=0.0839,innWmed=0.0636,innRatio=1.318,knn=NaN,phiTotal=0.026,triggered=0"
2025-09-04T07:15:00.000+03:00,"LONGEVAL,bar=305,entryCtx=1000,z0=-1.61,mr=-1.907,vec=-0.918,basket=76.98,burst=0.000025,te=NaN,innW=0.0887,innWmed=0.0636,innRatio=1.394,knn=NaN,phiTotal=0.022,triggered=0"
2025-09-04T07:30:00.000+03:00,"LONGEVAL,bar=306,entryCtx=1000,z0=-1.316,mr=-1.797,vec=-0.842,basket=76.9,burst=0.000176,te=NaN,innW=0.0901,innWmed=0.0636,innRatio=1.416,knn=NaN,phiTotal=0.037,triggered=0"
2025-09-04T07:45:00.000+03:00,"LONGEVAL,bar=307,entryCtx=1000,z0=-1.447,mr=-1.816,vec=-0.889,basket=76.91,burst=0.000041,te=NaN,innW=0.0923,innWmed=0.0636,innRatio=1.45,knn=NaN,phiTotal=0.05,triggered=0"
2025-09-04T08:00:00.000+03:00,"LONGEVAL,bar=308,entryCtx=1000,z0=-1.668,mr=-1.901,vec=-0.911,basket=77.45,burst=0.000052,te=NaN,innW=0.097,innWmed=0.0636,innRatio=1.525,knn=NaN,phiTotal=0.087,triggered=0"
2025-09-04T08:15:00.000+03:00,"LONGEVAL,bar=309,entryCtx=1000,z0=-1.827,mr=-1.948,vec=-0.958,basket=78.21,burst=0.00002,te=NaN,innW=0.1036,innWmed=0.0636,innRatio=1.629,knn=NaN,phiTotal=0.083,triggered=0"
2025-09-04T08:30:00.000+03:00,"LONGEVAL,bar=310,entryCtx=1000,z0=-1.827,mr=-2.017,vec=-0.971,basket=78.31,burst=0.000014,te=NaN,innW=0.1097,innWmed=0.0636,innRatio=1.723,knn=NaN,phiTotal=0.075,triggered=0"
2025-09-04T08:45:00.000+03:00,"LONGEVAL,bar=311,entryCtx=1000,z0=-1.505,mr=-1.937,vec=-0.804,basket=78.55,burst=0.000022,te=NaN,innW=0.1115,innWmed=0.0636,innRatio=1.753,knn=NaN,phiTotal=0.064,triggered=0"
2025-09-04T09:00:00.000+03:00,"LONGEVAL,bar=312,entryCtx=1000,z0=-1.586,mr=-1.877,vec=-0.666,basket=77.6,burst=0.000018,te=NaN,innW=0.1147,innWmed=0.0636,innRatio=1.802,knn=NaN,phiTotal=0.026,triggered=0"
2025-09-04T09:15:00.000+03:00,"LONGEVAL,bar=313,entryCtx=1000,z0=-1.538,mr=-1.764,vec=-0.687,basket=77.53,burst=0.000006,te=NaN,innW=0.1181,innWmed=0.0636,innRatio=1.856,knn=NaN,phiTotal=0,triggered=0"
2025-09-04T09:30:00.000+03:00,"LONGEVAL,bar=314,entryCtx=1000,z0=-1.447,mr=-1.702,vec=-0.682,basket=77.37,burst=0.000012,te=NaN,innW=0.12,innWmed=0.0636,innRatio=1.886,knn=NaN,phiTotal=-0.007,triggered=0"
2025-09-04T09:45:00.000+03:00,"LONGEVAL,bar=315,entryCtx=1000,z0=-1.47,mr=-1.621,vec=-0.675,basket=77.38,burst=0.000023,te=NaN,innW=0.123,innWmed=0.0636,innRatio=1.932,knn=NaN,phiTotal=-0.015,triggered=0"
2025-09-04T10:00:00.000+03:00,"LONGEVAL,bar=316,entryCtx=1000,z0=-1.151,mr=-1.428,vec=-0.504,basket=78.04,burst=0.00001,te=NaN,innW=0.1215,innWmed=0.0642,innRatio=1.894,knn=NaN,phiTotal=-0.022,triggered=0"
2025-09-04T10:15:00.000+03:00,"LONGEVAL,bar=317,entryCtx=1000,z0=-1.148,mr=-1.309,vec=-0.565,basket=77.8,burst=0.000016,te=NaN,innW=0.1205,innWmed=0.0649,innRatio=1.856,knn=NaN,phiTotal=-0.014,triggered=0"
2025-09-04T10:30:00.000+03:00,"LONGEVAL,bar=318,entryCtx=1000,z0=-1.137,mr=-1.28,vec=-0.571,basket=78.02,burst=0.000031,te=NaN,innW=0.1192,innWmed=0.0662,innRatio=1.8,knn=NaN,phiTotal=-0.008,triggered=0"
