Date,Message
2025-08-01T23:00:00.000+03:00,"LONGEVAL,bar=80,z0=-0.575,mr=0.174,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-01T23:30:00.000+03:00,"LONGEVAL,bar=82,z0=-0.596,mr=-0.257,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T01:00:00.000+03:00,"LONGEVAL,bar=88,z0=-1.657,mr=-0.712,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T01:15:00.000+03:00,"LONGEVAL,bar=89,z0=-2.416,mr=-1.278,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T01:30:00.000+03:00,"LONGEVAL,bar=90,z0=-2.144,mr=-1.486,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T01:45:00.000+03:00,"LONGEVAL,bar=91,z0=-1.673,mr=-1.44,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T02:00:00.000+03:00,"LONGEVAL,bar=92,z0=-1.11,mr=-1.237,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T02:15:00.000+03:00,"LONGEVAL,bar=93,z0=-0.989,mr=-1.112,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T02:30:00.000+03:00,"LONGEVAL,bar=94,z0=-0.964,mr=-1.034,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T02:45:00.000+03:00,"LONGEVAL,bar=95,z0=-0.85,mr=-0.952,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T03:00:00.000+03:00,"LONGEVAL,bar=96,z0=-0.841,mr=-0.919,vec=0,basket=0,burst=NaN,te=NaN,innW=NaN,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T11:45:00.000+03:00,"LONGEVAL,bar=131,z0=-0.724,mr=-0.256,vec=0,basket=0,burst=0,te=NaN,innW=0.091,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T12:00:00.000+03:00,"LONGEVAL,bar=132,z0=-0.517,mr=-0.409,vec=0,basket=0,burst=0,te=NaN,innW=0.0825,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T12:15:00.000+03:00,"LONGEVAL,bar=133,z0=-1.12,mr=-0.776,vec=0,basket=0,burst=0,te=NaN,innW=0.0805,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T12:30:00.000+03:00,"LONGEVAL,bar=134,z0=-1.406,mr=-1.147,vec=0,basket=0,burst=0,te=NaN,innW=0.0815,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T12:45:00.000+03:00,"LONGEVAL,bar=135,z0=-0.962,mr=-1.159,vec=0,basket=0,burst=0,te=NaN,innW=0.0775,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T13:00:00.000+03:00,"LONGEVAL,bar=136,z0=-2.043,mr=-1.627,vec=0,basket=0,burst=0,te=NaN,innW=0.0852,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T13:15:00.000+03:00,"LONGEVAL,bar=137,z0=-1.9,mr=-1.837,vec=0,basket=0,burst=0,te=NaN,innW=0.0944,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T13:30:00.000+03:00,"LONGEVAL,bar=138,z0=-2.105,mr=-1.997,vec=0,basket=0,burst=0,te=NaN,innW=0.109,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T13:45:00.000+03:00,"LONGEVAL,bar=139,z0=-1.662,mr=-1.905,vec=0,basket=0,burst=0,te=NaN,innW=0.1184,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T14:00:00.000+03:00,"LONGEVAL,bar=140,z0=-1.943,mr=-1.944,vec=0,basket=0,burst=0,te=NaN,innW=0.1324,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T14:15:00.000+03:00,"LONGEVAL,bar=141,z0=-0.778,mr=-1.394,vec=0,basket=0,burst=0,te=NaN,innW=0.1299,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T14:30:00.000+03:00,"LONGEVAL,bar=142,z0=-0.922,mr=-1.205,vec=0,basket=0,burst=0,te=NaN,innW=0.13,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T14:45:00.000+03:00,"LONGEVAL,bar=143,z0=-1.185,mr=-1.197,vec=0,basket=0,burst=0,te=NaN,innW=0.1343,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T15:00:00.000+03:00,"LONGEVAL,bar=144,z0=-1.491,mr=-1.334,vec=0,basket=0,burst=0,te=NaN,innW=0.1432,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T15:15:00.000+03:00,"LONGEVAL,bar=145,z0=-1.391,mr=-1.399,vec=0,basket=0,burst=0,te=NaN,innW=0.1506,innWmed=NaN,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T15:30:00.000+03:00,"LONGEVAL,bar=146,z0=-1.539,mr=-1.495,vec=0,basket=0,burst=0,te=NaN,innW=0.1602,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T15:45:00.000+03:00,"LONGEVAL,bar=147,z0=-1.08,mr=-1.31,vec=0,basket=0,burst=0,te=NaN,innW=0.163,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T16:00:00.000+03:00,"LONGEVAL,bar=148,z0=-1.485,mr=-1.394,vec=0,basket=0,burst=0,te=NaN,innW=0.1726,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T16:15:00.000+03:00,"LONGEVAL,bar=149,z0=-1.307,mr=-1.381,vec=0,basket=0,burst=0,te=NaN,innW=0.1794,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T16:30:00.000+03:00,"LONGEVAL,bar=150,z0=-0.813,mr=-1.118,vec=0,basket=0,burst=0,te=NaN,innW=0.1787,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T17:00:00.000+03:00,"LONGEVAL,bar=152,z0=-0.861,mr=-0.834,vec=0,basket=0,burst=0,te=NaN,innW=0.1734,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T17:15:00.000+03:00,"LONGEVAL,bar=153,z0=-1.077,mr=-0.935,vec=0,basket=0,burst=0,te=NaN,innW=0.1771,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T17:30:00.000+03:00,"LONGEVAL,bar=154,z0=-1.482,mr=-1.108,vec=0,basket=0,burst=0,te=NaN,innW=0.1884,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T17:45:00.000+03:00,"LONGEVAL,bar=155,z0=-1.398,mr=-1.201,vec=0,basket=0,burst=0,te=NaN,innW=0.1973,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T18:00:00.000+03:00,"LONGEVAL,bar=156,z0=-0.958,mr=-1.088,vec=0,basket=0,burst=0,te=NaN,innW=0.1978,innWmed=0.1058,knn=NaN,phiTotal=0,triggered=0"
2025-08-02T18:15:00.000+03:00,"LONGEVAL,bar=157,z0=-0.899,mr=-1.009,vec=0,basket=0,burst=0,te=NaN,innW=0.1968,innWmed=0.1067,knn=NaN,phiTotal=0,triggered=0"
